Sequence,Domain,Model,ModelType,Class,ClassDescription,Attribute,AttributeDescription,DataType,Context,SubContext,Nulls,IsPK,Relationship,FromClass,FromAttribute,FromCardinality,ToClass,ToAttribute,ToCardinality
515,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDINDUSTRYTP,"The CDINDUSTRYTP table contains the industry type code values and their descriptions. For example, farming, industrial, insurance. This table is used by the following domain. v Party Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
516,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDINDUSTRYTP,"The CDINDUSTRYTP table contains the industry type code values and their descriptions. For example, farming, industrial, insurance. This table is used by the following domain. v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
517,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLANGTP,"The CDLANGTP table contains the values for the Language Type Code and its descriptions. For example, ""English"", ""French"", or ""Spanish"". This table is used by the following domain. v Party Domain ",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
518,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLANGTP,"The CDLANGTP table contains the values for the Language Type Code and its descriptions. For example, ""English"", ""French"", or ""Spanish"". This table is used by the following domain. v Party Domain ",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
519,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLANGTP,"The CDLANGTP table contains the values for the Language Type Code and its descriptions. For example, ""English"", ""French"", or ""Spanish"". This table is used by the following domain. v Party Domain ",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
520,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLANGTP,"The CDLANGTP table contains the values for the Language Type Code and its descriptions. For example, ""English"", ""French"", or ""Spanish"". This table is used by the following domain. v Party Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
521,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLANGTP,"The CDLANGTP table contains the values for the Language Type Code and its descriptions. For example, ""English"", ""French"", or ""Spanish"". This table is used by the following domain. v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
522,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLANGTP,"The CDLANGTP table contains the values for the Language Type Code and its descriptions. For example, ""English"", ""French"", or ""Spanish"". This table is used by the following domain. v Party Domain ",LOCALE,The locale string for the language record.,VARCHAR(20),,,Null,No,,,,,,,
523,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLANGTP,"The CDLANGTP table contains the values for the Language Type Code and its descriptions. For example, ""English"", ""French"", or ""Spanish"". This table is used by the following domain. v Party Domain ",CODE_TABLE_TRANSLATION,Indicates whether the system provides the code table translation for the given language and locale.,CHAR(1),,,Null,No,,,,,,,
524,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLINKREASONTP,"The CDLINKREASONTP table identifies the reason why two parties are linked together. For example, collapsed, or split. This table is used by the following domains. v Party Domain v Product Domain ",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
525,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLINKREASONTP,"The CDLINKREASONTP table identifies the reason why two parties are linked together. For example, collapsed, or split. This table is used by the following domains. v Party Domain v Product Domain ",LINK_REASON_TP_CD,"Describes the reason why two parties are linked. For example, ""Source collapsed into target"", ""Source duplicated as target"", and so forth.",BIGINT,,,Not Null,Yes,,,,,,,
526,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLINKREASONTP,"The CDLINKREASONTP table identifies the reason why two parties are linked together. For example, collapsed, or split. This table is used by the following domains. v Party Domain v Product Domain ",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
527,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLINKREASONTP,"The CDLINKREASONTP table identifies the reason why two parties are linked together. For example, collapsed, or split. This table is used by the following domains. v Party Domain v Product Domain ",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
528,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLINKREASONTP,"The CDLINKREASONTP table identifies the reason why two parties are linked together. For example, collapsed, or split. This table is used by the following domains. v Party Domain v Product Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
529,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLINKREASONTP,"The CDLINKREASONTP table identifies the reason why two parties are linked together. For example, collapsed, or split. This table is used by the following domains. v Party Domain v Product Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
530,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBRELTP,"The CDLOBRELTP table defines various LOB relationship types. For example, ""owner"". This table is used by the following domain. v Party Domain ",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
531,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBRELTP,"The CDLOBRELTP table defines various LOB relationship types. For example, ""owner"". This table is used by the following domain. v Party Domain ",LOB_REL_TP_CD,Identifies the unique type code for a specific line of business relationship type.,BIGINT,,,Not Null,Yes,,,,,,,
532,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBRELTP,"The CDLOBRELTP table defines various LOB relationship types. For example, ""owner"". This table is used by the following domain. v Party Domain ",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
533,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBRELTP,"The CDLOBRELTP table defines various LOB relationship types. For example, ""owner"". This table is used by the following domain. v Party Domain ",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
534,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBRELTP,"The CDLOBRELTP table defines various LOB relationship types. For example, ""owner"". This table is used by the following domain. v Party Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
535,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBRELTP,"The CDLOBRELTP table defines various LOB relationship types. For example, ""owner"". This table is used by the following domain. v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
536,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBTP,The CDLOBTP table contains the values and descriptions for all of the lines of business set up in the system. This table is used by the following domain. v Party Domain 58 InfoSphere MDM 11.3: MDM Physical Data Dictionary,LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
537,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBTP,The CDLOBTP table contains the values and descriptions for all of the lines of business set up in the system. This table is used by the following domain. v Party Domain 58 InfoSphere MDM 11.3: MDM Physical Data Dictionary,LOB_TP_CD,Identifies the unique type code for a specific line of business.,BIGINT,,,Not Null,Yes,,,,,,,
538,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBTP,The CDLOBTP table contains the values and descriptions for all of the lines of business set up in the system. This table is used by the following domain. v Party Domain 58 InfoSphere MDM 11.3: MDM Physical Data Dictionary,NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
539,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBTP,The CDLOBTP table contains the values and descriptions for all of the lines of business set up in the system. This table is used by the following domain. v Party Domain 58 InfoSphere MDM 11.3: MDM Physical Data Dictionary,DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
540,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBTP,The CDLOBTP table contains the values and descriptions for all of the lines of business set up in the system. This table is used by the following domain. v Party Domain 58 InfoSphere MDM 11.3: MDM Physical Data Dictionary,EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
541,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDLOBTP,The CDLOBTP table contains the values and descriptions for all of the lines of business set up in the system. This table is used by the following domain. v Party Domain 58 InfoSphere MDM 11.3: MDM Physical Data Dictionary,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
542,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMARITALSTTP,"The CDMARITALSTTP table contains the marital status type code values and their descriptions. For example: ""married"", ""separated"", or ""widowed"". This table is used by the following domain. v Party Domain ",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
543,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMARITALSTTP,"The CDMARITALSTTP table contains the marital status type code values and their descriptions. For example: ""married"", ""separated"", or ""widowed"". This table is used by the following domain. v Party Domain ",MARITAL_ST_TP_CD,"Identifies a person's marital status. For example, single, widowed, or divorced.",BIGINT,,,Not Null,Yes,,,,,,,
544,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMARITALSTTP,"The CDMARITALSTTP table contains the marital status type code values and their descriptions. For example: ""married"", ""separated"", or ""widowed"". This table is used by the following domain. v Party Domain ",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
545,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMARITALSTTP,"The CDMARITALSTTP table contains the marital status type code values and their descriptions. For example: ""married"", ""separated"", or ""widowed"". This table is used by the following domain. v Party Domain ",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
546,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMARITALSTTP,"The CDMARITALSTTP table contains the marital status type code values and their descriptions. For example: ""married"", ""separated"", or ""widowed"". This table is used by the following domain. v Party Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
547,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMARITALSTTP,"The CDMARITALSTTP table contains the marital status type code values and their descriptions. For example: ""married"", ""separated"", or ""widowed"". This table is used by the following domain. v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
548,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHENGINETP,The CDMATCHENGINETP table contains the type information and description of the matching engine use for matching contacts. This table is used by the following domain. v Party Domain ,LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
549,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHENGINETP,The CDMATCHENGINETP table contains the type information and description of the matching engine use for matching contacts. This table is used by the following domain. v Party Domain ,MATCH_ENG_TP_CD,The Matching Engine to use for matching parties.,BIGINT,,,Not Null,Yes,,,,,,,
550,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHENGINETP,The CDMATCHENGINETP table contains the type information and description of the matching engine use for matching contacts. This table is used by the following domain. v Party Domain ,NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
551,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHENGINETP,The CDMATCHENGINETP table contains the type information and description of the matching engine use for matching contacts. This table is used by the following domain. v Party Domain ,DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
552,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHENGINETP,The CDMATCHENGINETP table contains the type information and description of the matching engine use for matching contacts. This table is used by the following domain. v Party Domain ,EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
553,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHENGINETP,The CDMATCHENGINETP table contains the type information and description of the matching engine use for matching contacts. This table is used by the following domain. v Party Domain ,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
554,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHRELEVTP,"The CDMATCHRELEVTP table contains the match relevancy type code value and its description. For example, LNAME, SSN and ADDRESS LINE 1. This table is used by the following domain. v Party Domain",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
555,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHRELEVTP,"The CDMATCHRELEVTP table contains the match relevancy type code value and its description. For example, LNAME, SSN and ADDRESS LINE 1. This table is used by the following domain. v Party Domain",MATCH_RELEV_TP_CD,"Identifies party match relevancies, providing a description of which elements were matched.",BIGINT,,,Not Null,Yes,,,,,,,
556,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHRELEVTP,"The CDMATCHRELEVTP table contains the match relevancy type code value and its description. For example, LNAME, SSN and ADDRESS LINE 1. This table is used by the following domain. v Party Domain",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
557,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHRELEVTP,"The CDMATCHRELEVTP table contains the match relevancy type code value and its description. For example, LNAME, SSN and ADDRESS LINE 1. This table is used by the following domain. v Party Domain",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
558,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHRELEVTP,"The CDMATCHRELEVTP table contains the match relevancy type code value and its description. For example, LNAME, SSN and ADDRESS LINE 1. This table is used by the following domain. v Party Domain",RELEVENCY_SCORE,The score associated with a match relevancy type. For example: LNAME score = 30.,SMALLINT,,,Null,No,,,,,,,
559,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHRELEVTP,"The CDMATCHRELEVTP table contains the match relevancy type code value and its description. For example, LNAME, SSN and ADDRESS LINE 1. This table is used by the following domain. v Party Domain",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
560,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHRELEVTP,"The CDMATCHRELEVTP table contains the match relevancy type code value and its description. For example, LNAME, SSN and ADDRESS LINE 1. This table is used by the following domain. v Party Domain",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
561,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMATCHRELEVTP,"The CDMATCHRELEVTP table contains the match relevancy type code value and its description. For example, LNAME, SSN and ADDRESS LINE 1. This table is used by the following domain. v Party Domain",MATCH_ENG_TP_CD,The matching engine used for matching parties.,BIGINT,,,Null,No,,,,,,,
562,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETADATAINFOTP,"The CDMETADATAINFOTP table stores information used to identify metadata. For example, task definition, or spec. This table is used by the following domain. v Product Domain ",METADATA_INFO_TP_CD,A code that identifies the metadata information.,BIGINT,,,Not Null,Yes,,,,,,,
563,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETADATAINFOTP,"The CDMETADATAINFOTP table stores information used to identify metadata. For example, task definition, or spec. This table is used by the following domain. v Product Domain ",METADATA_KEY,"Data that defines the value of the metadata information type code. An example is: ""928749ae-f19c-41b6-babf- 380467cea769"".",VARCHAR(255),,,Not Null,No,,,,,,,
564,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETADATAINFOTP,"The CDMETADATAINFOTP table stores information used to identify metadata. For example, task definition, or spec. This table is used by the following domain. v Product Domain ",METADATA_PACKAGE_TP_CD,A code that identifies the metadata package.,BIGINT,,,Null,No,,,,,,,
565,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETADATAINFOTP,"The CDMETADATAINFOTP table stores information used to identify metadata. For example, task definition, or spec. This table is used by the following domain. v Product Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
566,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETADATAINFOTP,"The CDMETADATAINFOTP table stores information used to identify metadata. For example, task definition, or spec. This table is used by the following domain. v Product Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
567,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETADATAPACKAGETP,"The CDMETADATAPACKAGETP table stores a list of meta data package names used to identify the location of metadata in the system. For example, task definition, or spec. Stores a list of meta data package names, which are used to identify the location of the metadata in system, such as task definition and spec. This table is used by the following domain. v Product Domain ",METADATA_PACKAGE_TP_CD,A code that identifies the metadata package.,BIGINT,,,Not Null,Yes,,,,,,,
568,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETADATAPACKAGETP,"The CDMETADATAPACKAGETP table stores a list of meta data package names used to identify the location of metadata in the system. For example, task definition, or spec. Stores a list of meta data package names, which are used to identify the location of the metadata in system, such as task definition and spec. This table is used by the following domain. v Product Domain ",METADATA_PACKAGE_NAME,"Data that defines the value of a metadata package type code. For example, ""com.ibm.mdm.System"".",VARCHAR(255),,,Not Null,No,,,,,,,
569,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETADATAPACKAGETP,"The CDMETADATAPACKAGETP table stores a list of meta data package names used to identify the location of metadata in the system. For example, task definition, or spec. Stores a list of meta data package names, which are used to identify the location of the metadata in system, such as task definition and spec. This table is used by the following domain. v Product Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
570,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETADATAPACKAGETP,"The CDMETADATAPACKAGETP table stores a list of meta data package names used to identify the location of metadata in the system. For example, task definition, or spec. Stores a list of meta data package names, which are used to identify the location of the metadata in system, such as task definition and spec. This table is used by the following domain. v Product Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
571,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETHODSTATUSTP,"The CDMETHODSTATUSTP table contains the values and descriptions for the contact method status type code. For example, ""disconnected"", ""unlisted"", or ""no longer available"". This table is used by the following domain. v Party Domain 62 InfoSphere MDM 11.3: MDM Physical Data Dictionary",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
572,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETHODSTATUSTP,"The CDMETHODSTATUSTP table contains the values and descriptions for the contact method status type code. For example, ""disconnected"", ""unlisted"", or ""no longer available"". This table is used by the following domain. v Party Domain 62 InfoSphere MDM 11.3: MDM Physical Data Dictionary",METHOD_ST_TP_CD,"Identifies the status of a contact method. For example, disconnected or cancelled.",BIGINT,,,Not Null,Yes,,,,,,,
573,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETHODSTATUSTP,"The CDMETHODSTATUSTP table contains the values and descriptions for the contact method status type code. For example, ""disconnected"", ""unlisted"", or ""no longer available"". This table is used by the following domain. v Party Domain 62 InfoSphere MDM 11.3: MDM Physical Data Dictionary",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
574,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETHODSTATUSTP,"The CDMETHODSTATUSTP table contains the values and descriptions for the contact method status type code. For example, ""disconnected"", ""unlisted"", or ""no longer available"". This table is used by the following domain. v Party Domain 62 InfoSphere MDM 11.3: MDM Physical Data Dictionary",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
575,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETHODSTATUSTP,"The CDMETHODSTATUSTP table contains the values and descriptions for the contact method status type code. For example, ""disconnected"", ""unlisted"", or ""no longer available"". This table is used by the following domain. v Party Domain 62 InfoSphere MDM 11.3: MDM Physical Data Dictionary",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
576,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMETHODSTATUSTP,"The CDMETHODSTATUSTP table contains the values and descriptions for the contact method status type code. For example, ""disconnected"", ""unlisted"", or ""no longer available"". This table is used by the following domain. v Party Domain 62 InfoSphere MDM 11.3: MDM Physical Data Dictionary",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
577,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUEATTRTP,The CDMISCVALUEATTRTP table contains miscellaneous value attributes types that are captured. This table is used by the following domain. v Party Domain ,LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
578,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUEATTRTP,The CDMISCVALUEATTRTP table contains miscellaneous value attributes types that are captured. This table is used by the following domain. v Party Domain ,VALUEATTR_TP_CD,"The miscvalue attribute can be used to provide more information regarding a miscellaneous value type such as status, effective date, created date and so forth, or the miscvalue attribute type can be used to populate multiple values for a party.",BIGINT,,,Not Null,Yes,,,,,,,
579,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUEATTRTP,The CDMISCVALUEATTRTP table contains miscellaneous value attributes types that are captured. This table is used by the following domain. v Party Domain ,NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Null,No,,,,,,,
580,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUEATTRTP,The CDMISCVALUEATTRTP table contains miscellaneous value attributes types that are captured. This table is used by the following domain. v Party Domain ,DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
581,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUEATTRTP,The CDMISCVALUEATTRTP table contains miscellaneous value attributes types that are captured. This table is used by the following domain. v Party Domain ,EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
582,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUEATTRTP,The CDMISCVALUEATTRTP table contains miscellaneous value attributes types that are captured. This table is used by the following domain. v Party Domain ,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
583,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUECAT,"The CDMISCVALUECAT table categorizes types of miscellaneous values. For example, demographic category, risk category, or standard industry codes. This table is used by the following domain. v Party Domain ",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
584,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUECAT,"The CDMISCVALUECAT table categorizes types of miscellaneous values. For example, demographic category, risk category, or standard industry codes. This table is used by the following domain. v Party Domain ",MISCVALUE_CAT_CD,"The category allows institutions to classify the different types of values. Some examples are Demographic Category, Risk Category, Standard Industry Codes,Party, Billing, Address and so forth.",BIGINT,,,Not Null,Yes,,,,,,,
585,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUECAT,"The CDMISCVALUECAT table categorizes types of miscellaneous values. For example, demographic category, risk category, or standard industry codes. This table is used by the following domain. v Party Domain ",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
586,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUECAT,"The CDMISCVALUECAT table categorizes types of miscellaneous values. For example, demographic category, risk category, or standard industry codes. This table is used by the following domain. v Party Domain ",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
587,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUECAT,"The CDMISCVALUECAT table categorizes types of miscellaneous values. For example, demographic category, risk category, or standard industry codes. This table is used by the following domain. v Party Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
